,count,count_of_count,percent
193,840,1,3.074670525993111e-05
194,30,7519,0.231184476849422
195,521,4,0.00012298682103972444
196,3,250224,7.693563576961002
197,936,1,3.074670525993111e-05
198,324,38,0.001168374799877382
199,1561,1,3.074670525993111e-05
200,981,1,3.074670525993111e-05
201,921,1,3.074670525993111e-05
202,249,77,0.0023674963050146955
203,255,57,0.0017525621998160732
204,1126,1,3.074670525993111e-05
205,209,85,0.002613469947094144
206,639,3,9.224011577979332e-05
207,296,33,0.0010146412735777266
208,74,1127,0.03465153682794236
209,868,1,3.074670525993111e-05
210,138,260,0.007994143367582088
211,34,5797,0.17823865039182063
212,418,6,0.00018448023155958663
213,947,1,3.074670525993111e-05
214,761,1,3.074670525993111e-05
215,1411,1,3.074670525993111e-05
216,407,18,0.0005534406946787599
217,90,760,0.023367495997547644
218,904,2,6.149341051986222e-05
219,387,15,0.0004612005788989666
220,443,11,0.0003382137578592422
221,39,4226,0.12993557642846887
222,690,4,0.00012298682103972444
223,526,6,0.00018448023155958663
224,1477,1,3.074670525993111e-05
225,393,13,0.0003997071683791044
226,524,10,0.0003074670525993111
227,312,38,0.001168374799877382
228,1151,1,3.074670525993111e-05
229,498,6,0.00018448023155958663
230,862,2,6.149341051986222e-05
231,1185,1,3.074670525993111e-05
232,494,10,0.0003074670525993111
233,469,11,0.0003382137578592422
234,683,7,0.00021522693681951774
235,118,373,0.011468521061954303
236,608,6,0.00018448023155958663
237,317,34,0.0010453879788376577
238,793,3,9.224011577979332e-05
239,702,5,0.00015373352629965555
240,488,6,0.00018448023155958663
241,126,346,0.010638360019936163
242,194,112,0.003443630989112284
243,360,19,0.000584187399938691
244,463,8,0.0002459736420794489
245,1570,1,3.074670525993111e-05
246,476,9,0.00027672034733937996
247,99,573,0.017617862113940525
248,629,5,0.00015373352629965555
249,883,1,3.074670525993111e-05
250,726,1,3.074670525993111e-05
251,374,15,0.0004612005788989666
252,1215,1,3.074670525993111e-05
253,224,63,0.0019370424313756597
254,719,3,9.224011577979332e-05
255,318,34,0.0010453879788376577
256,1476,1,3.074670525993111e-05
257,442,10,0.0003074670525993111
258,647,6,0.00018448023155958663
259,354,16,0.0004919472841588978
260,1296,1,3.074670525993111e-05
261,593,4,0.00012298682103972444
262,12,35970,1.105958988199722
263,479,3,9.224011577979332e-05
264,293,41,0.0012606149156571755
265,1354,1,3.074670525993111e-05
266,495,4,0.00012298682103972444
267,154,198,0.00608784764146636
268,3030,1,3.074670525993111e-05
269,234,68,0.0020907759576753154
270,474,8,0.0002459736420794489
271,899,2,6.149341051986222e-05
272,935,1,3.074670525993111e-05
273,748,1,3.074670525993111e-05
274,675,3,9.224011577979332e-05
275,696,3,9.224011577979332e-05
276,969,4,0.00012298682103972444
277,264,34,0.0010453879788376577
278,270,52,0.0015988286735164176
279,898,1,3.074670525993111e-05
280,435,4,0.00012298682103972444
281,384,16,0.0004919472841588978
282,1145,1,3.074670525993111e-05
283,351,16,0.0004919472841588978
284,116,413,0.012698389272351547
285,970,1,3.074670525993111e-05
286,732,2,6.149341051986222e-05
287,3398,1,3.074670525993111e-05
288,837,2,6.149341051986222e-05
289,826,1,3.074670525993111e-05
290,431,12,0.00036896046311917326
291,491,8,0.0002459736420794489
292,911,2,6.149341051986222e-05
293,462,12,0.00036896046311917326
294,734,3,9.224011577979332e-05
295,855,3,9.224011577979332e-05
296,1767,1,3.074670525993111e-05
297,1272,1,3.074670525993111e-05
298,436,7,0.00021522693681951774
299,180,133,0.0040893117995708375
300,626,3,9.224011577979332e-05
301,2160,1,3.074670525993111e-05
302,263,49,0.0015065885577366244
303,784,1,3.074670525993111e-05
304,1579,1,3.074670525993111e-05
305,711,1,3.074670525993111e-05
306,470,12,0.00036896046311917326
307,780,2,6.149341051986222e-05
308,768,2,6.149341051986222e-05
309,478,10,0.0003074670525993111
310,149,229,0.007040995504524224
311,577,5,0.00015373352629965555
312,505,6,0.00018448023155958663
313,280,48,0.001475841852476693
314,88,800,0.024597364207944887
315,188,125,0.003843338157491389
316,461,6,0.00018448023155958663
317,240,82,0.002521229831314351
318,328,19,0.000584187399938691
319,525,5,0.00015373352629965555
320,717,2,6.149341051986222e-05
321,634,2,6.149341051986222e-05
322,1046,2,6.149341051986222e-05
323,650,4,0.00012298682103972444
324,703,3,9.224011577979332e-05
325,226,73,0.002244509483974971
326,210,88,0.0027057100628739375
327,843,1,3.074670525993111e-05
328,1161,1,3.074670525993111e-05
329,710,1,3.074670525993111e-05
330,48,3054,0.09390043786382961
331,1016,1,3.074670525993111e-05
332,447,15,0.0004612005788989666
333,298,28,0.000860907747278071
334,81,993,0.030531478323111594
335,1015,1,3.074670525993111e-05
336,954,1,3.074670525993111e-05
337,1218,1,3.074670525993111e-05
338,800,3,9.224011577979332e-05
339,204,111,0.0034128842838523532
340,5,115196,3.5418974591230237
341,456,8,0.0002459736420794489
342,1608,1,3.074670525993111e-05
343,796,3,9.224011577979332e-05
344,531,6,0.00018448023155958663
345,283,41,0.0012606149156571755
346,807,2,6.149341051986222e-05
347,624,1,3.074670525993111e-05
348,546,3,9.224011577979332e-05
349,686,2,6.149341051986222e-05
350,297,26,0.0007994143367582088
351,681,5,0.00015373352629965555
352,361,14,0.0004304538736390355
353,1173,1,3.074670525993111e-05
354,303,34,0.0010453879788376577
355,1261,1,3.074670525993111e-05
356,974,2,6.149341051986222e-05
357,829,1,3.074670525993111e-05
358,785,2,6.149341051986222e-05
359,1406,1,3.074670525993111e-05
360,643,2,6.149341051986222e-05
361,472,12,0.00036896046311917326
362,444,13,0.0003997071683791044
363,537,7,0.00021522693681951774
364,233,79,0.0024289897155345577
365,93,636,0.019554904545316186
366,89,748,0.02299853553442847
367,373,19,0.000584187399938691
368,252,53,0.001629575378776349
369,343,28,0.000860907747278071
370,31,6104,0.1876778889066195
371,1316,2,6.149341051986222e-05
372,1345,1,3.074670525993111e-05
373,723,2,6.149341051986222e-05
374,497,3,9.224011577979332e-05
375,884,1,3.074670525993111e-05
376,155,184,0.005657393767827324
377,722,4,0.00012298682103972444
378,953,2,6.149341051986222e-05
379,609,3,9.224011577979332e-05
380,416,18,0.0005534406946787599
381,195,110,0.003382137578592422
382,1097,1,3.074670525993111e-05
383,199,100,0.003074670525993111
384,369,21,0.0006456808104585533
385,441,13,0.0003997071683791044
386,243,55,0.001691068789296211
387,902,1,3.074670525993111e-05
388,1142,1,3.074670525993111e-05
389,1047,1,3.074670525993111e-05
390,740,2,6.149341051986222e-05
391,230,79,0.0024289897155345577
392,503,8,0.0002459736420794489
393,78,1024,0.031484626186169457
394,573,9,0.00027672034733937996
395,994,1,3.074670525993111e-05
396,987,3,9.224011577979332e-05
397,1099,1,3.074670525993111e-05
398,852,1,3.074670525993111e-05
399,250,71,0.002183016073455109
400,611,2,6.149341051986222e-05
401,621,3,9.224011577979332e-05
402,865,2,6.149341051986222e-05
403,962,1,3.074670525993111e-05
404,106,516,0.015865299914124453
405,1200,1,3.074670525993111e-05
406,178,154,0.004734992610029391
407,795,1,3.074670525993111e-05
408,585,8,0.0002459736420794489
409,8,68253,2.0985548741060778
410,908,1,3.074670525993111e-05
411,708,2,6.149341051986222e-05
412,455,13,0.0003997071683791044
413,370,19,0.000584187399938691
414,684,1,3.074670525993111e-05
415,713,5,0.00015373352629965555
416,1156,1,3.074670525993111e-05
417,448,14,0.0004304538736390355
418,396,12,0.00036896046311917326
419,701,2,6.149341051986222e-05
420,1092,1,3.074670525993111e-05
421,1472,1,3.074670525993111e-05
422,132,313,0.009623718746358438
423,514,3,9.224011577979332e-05
424,322,28,0.000860907747278071
425,854,4,0.00012298682103972444
426,389,17,0.0005226939894188288
427,863,1,3.074670525993111e-05
428,114,363,0.011161054009354993
429,60,2189,0.0673045378139892
430,754,4,0.00012298682103972444
431,518,8,0.0002459736420794489
432,289,43,0.0013221083261770376
433,583,4,0.00012298682103972444
434,65,1425,0.04381405499540183
435,693,2,6.149341051986222e-05
436,98,646,0.019862371597915495
437,744,2,6.149341051986222e-05
438,715,2,6.149341051986222e-05
439,490,11,0.0003382137578592422
440,527,6,0.00018448023155958663
441,235,72,0.0022137627787150397
442,763,4,0.00012298682103972444
443,627,4,0.00012298682103972444
444,119,359,0.011038067188315268
445,286,37,0.001137628094617451
446,306,37,0.001137628094617451
447,376,21,0.0006456808104585533
448,147,203,0.006241581167766015
449,860,1,3.074670525993111e-05
450,480,11,0.0003382137578592422
451,338,17,0.0005226939894188288
452,1066,2,6.149341051986222e-05
453,358,21,0.0006456808104585533
454,412,16,0.0004919472841588978
455,1470,1,3.074670525993111e-05
456,989,1,3.074670525993111e-05
457,26,9828,0.30217861929460293
458,950,1,3.074670525993111e-05
459,564,2,6.149341051986222e-05
460,535,5,0.00015373352629965555
461,72,1203,0.03698828642769712
462,1159,1,3.074670525993111e-05
463,2117,1,3.074670525993111e-05
464,642,2,6.149341051986222e-05
465,232,71,0.002183016073455109
466,77,1062,0.032653000986046836
467,725,5,0.00015373352629965555
468,131,289,0.00888579782012009
469,310,28,0.000860907747278071
470,37,4372,0.1344245953964188
471,907,1,3.074670525993111e-05
472,1001,1,3.074670525993111e-05
473,584,6,0.00018448023155958663
474,2454,1,3.074670525993111e-05
475,1469,1,3.074670525993111e-05
476,1821,1,3.074670525993111e-05
477,806,3,9.224011577979332e-05
478,353,14,0.0004304538736390355
479,834,2,6.149341051986222e-05
480,813,2,6.149341051986222e-05
481,1164,1,3.074670525993111e-05
482,1298,1,3.074670525993111e-05
483,574,9,0.00027672034733937996
484,225,88,0.0027057100628739375
485,1568,1,3.074670525993111e-05
486,333,29,0.000891654452538002
487,1496,1,3.074670525993111e-05
488,174,150,0.004612005788989667
489,45,3217,0.09891215082119836
490,891,1,3.074670525993111e-05
491,134,315,0.009685212156878299
492,2508,1,3.074670525993111e-05
493,918,2,6.149341051986222e-05
494,36,5782,0.17777744981292168
495,1303,1,3.074670525993111e-05
496,430,7,0.00021522693681951774
497,102,571,0.01755636870342066
498,158,194,0.005964860820426635
499,533,8,0.0002459736420794489
500,915,3,9.224011577979332e-05
501,459,10,0.0003074670525993111
502,207,86,0.0026442166523540753
503,123,301,0.009254758283239264
504,2135,1,3.074670525993111e-05
505,385,15,0.0004612005788989666
506,1410,2,6.149341051986222e-05
507,492,10,0.0003074670525993111
508,544,10,0.0003074670525993111
509,365,24,0.0007379209262383465
510,704,3,9.224011577979332e-05
511,157,203,0.006241581167766015
512,606,2,6.149341051986222e-05
513,618,2,6.149341051986222e-05
514,308,32,0.0009838945683177955
515,1072,1,3.074670525993111e-05
516,313,28,0.000860907747278071
517,140,259,0.007963396662322157
518,248,58,0.001783308905076004
519,137,254,0.007809663136022501
520,1918,1,3.074670525993111e-05
521,208,90,0.0027672034733937996
522,614,7,0.00021522693681951774
523,392,19,0.000584187399938691
524,24,11766,0.36176573408834944
525,191,119,0.003658857925931802
526,760,3,9.224011577979332e-05
527,94,626,0.019247437492716877
528,1055,1,3.074670525993111e-05
529,218,72,0.0022137627787150397
530,49,2654,0.08160175575985716
531,671,3,9.224011577979332e-05
532,2148,1,3.074670525993111e-05
533,2069,1,3.074670525993111e-05
534,580,6,0.00018448023155958663
535,1131,1,3.074670525993111e-05
536,742,1,3.074670525993111e-05
537,912,3,9.224011577979332e-05
538,846,1,3.074670525993111e-05
539,938,1,3.074670525993111e-05
540,184,128,0.003935578273271182
541,87,732,0.022506588250269573
542,753,1,3.074670525993111e-05
543,477,14,0.0004304538736390355
544,550,2,6.149341051986222e-05
545,394,18,0.0005534406946787599
546,272,45,0.0013836017366968998
547,781,1,3.074670525993111e-05
548,1437,1,3.074670525993111e-05
549,867,1,3.074670525993111e-05
550,190,138,0.004243045325870493
551,858,3,9.224011577979332e-05
552,554,5,0.00015373352629965555
553,424,11,0.0003382137578592422
554,406,14,0.0004304538736390355
555,670,3,9.224011577979332e-05
556,1933,1,3.074670525993111e-05
557,309,27,0.0008301610420181399
558,849,2,6.149341051986222e-05
559,509,6,0.00018448023155958663
560,1067,1,3.074670525993111e-05
561,156,175,0.005380673420487944
562,932,3,9.224011577979332e-05
563,2392,1,3.074670525993111e-05
564,1408,1,3.074670525993111e-05
565,641,4,0.00012298682103972444
566,475,10,0.0003074670525993111
567,888,5,0.00015373352629965555
568,1235,1,3.074670525993111e-05
569,282,43,0.0013221083261770376
570,1604,1,3.074670525993111e-05
571,733,4,0.00012298682103972444
572,269,43,0.0013221083261770376
573,261,53,0.001629575378776349
574,502,6,0.00018448023155958663
575,117,353,0.010853586956755682
576,257,51,0.0015680819682564865
577,125,322,0.009900439093697817
578,40,8126,0.2498477269422002
579,700,4,0.00012298682103972444
580,1308,1,3.074670525993111e-05
581,43,3635,0.11176427361984959
582,587,2,6.149341051986222e-05
583,1090,1,3.074670525993111e-05
584,349,18,0.0005534406946787599
585,187,134,0.0041200585048307686
586,1519,1,3.074670525993111e-05
587,766,5,0.00015373352629965555
588,728,2,6.149341051986222e-05
589,506,7,0.00021522693681951774
590,242,49,0.0015065885577366244
591,331,20,0.0006149341051986222
592,599,5,0.00015373352629965555
593,677,3,9.224011577979332e-05
594,1232,1,3.074670525993111e-05
595,1543,1,3.074670525993111e-05
596,29,6834,0.21012298374636923
597,4,203844,6.267531387005397
598,698,4,0.00012298682103972444
599,96,624,0.01918594408219701
600,466,9,0.00027672034733937996
601,201,86,0.0026442166523540753
602,2643,1,3.074670525993111e-05
603,844,1,3.074670525993111e-05
604,980,1,3.074670525993111e-05
605,631,6,0.00018448023155958663
606,107,436,0.013405563493329962
607,6,106032,3.2601346521210153
608,446,10,0.0003074670525993111
609,749,4,0.00012298682103972444
610,86,849,0.02610395276568151
611,1148,1,3.074670525993111e-05
612,920,2,6.149341051986222e-05
613,219,76,0.002336749599754764
614,1628,1,3.074670525993111e-05
615,363,30,0.0009224011577979332
616,231,63,0.0019370424313756597
617,66,1539,0.047319179395033974
618,661,2,6.149341051986222e-05
619,512,3,9.224011577979332e-05
620,340,28,0.000860907747278071
621,873,1,3.074670525993111e-05
622,3153,1,3.074670525993111e-05
623,523,13,0.0003997071683791044
624,356,23,0.0007071742209784154
625,458,8,0.0002459736420794489
626,414,23,0.0007071742209784154
627,640,2,6.149341051986222e-05
628,1053,1,3.074670525993111e-05
629,368,18,0.0005534406946787599
630,735,3,9.224011577979332e-05
631,538,7,0.00021522693681951774
632,166,169,0.005196193188928357
633,595,1,3.074670525993111e-05
634,142,255,0.007840409841282434
635,924,1,3.074670525993111e-05
636,872,2,6.149341051986222e-05
637,410,11,0.0003382137578592422
638,1140,1,3.074670525993111e-05
639,1054,1,3.074670525993111e-05
640,792,1,3.074670525993111e-05
641,651,2,6.149341051986222e-05
642,381,17,0.0005226939894188288
643,38,5370,0.16510980724583005
644,1005,1,3.074670525993111e-05
645,359,23,0.0007071742209784154
646,193,128,0.003935578273271182
647,1012,2,6.149341051986222e-05
648,548,11,0.0003382137578592422
649,730,2,6.149341051986222e-05
650,217,102,0.003136163936512973
651,1087,1,3.074670525993111e-05
652,709,3,9.224011577979332e-05
653,47,2833,0.08710541600138483
654,886,1,3.074670525993111e-05
655,1105,1,3.074670525993111e-05
656,177,137,0.004212298620610562
657,4485,1,3.074670525993111e-05
658,727,2,6.149341051986222e-05
659,985,1,3.074670525993111e-05
660,2856,1,3.074670525993111e-05
661,810,1,3.074670525993111e-05
662,1405,1,3.074670525993111e-05
663,779,2,6.149341051986222e-05
664,1117,1,3.074670525993111e-05
665,110,456,0.014020497598528586
666,145,237,0.007286969146603673
667,557,10,0.0003074670525993111
668,718,1,3.074670525993111e-05
669,623,4,0.00012298682103972444
670,485,10,0.0003074670525993111
671,1081,1,3.074670525993111e-05
672,229,82,0.002521229831314351
673,1112,2,6.149341051986222e-05
674,559,10,0.0003074670525993111
675,304,36,0.0011068813893575198
676,1102,2,6.149341051986222e-05
677,788,3,9.224011577979332e-05
678,52,2368,0.07280819805551686
679,633,3,9.224011577979332e-05
680,341,23,0.0007071742209784154
681,1506,1,3.074670525993111e-05
682,450,10,0.0003074670525993111
683,900,3,9.224011577979332e-05
684,405,12,0.00036896046311917326
685,170,159,0.0048887261363290465
686,996,1,3.074670525993111e-05
687,762,3,9.224011577979332e-05
688,712,4,0.00012298682103972444
689,192,116,0.003566617810152008
690,513,5,0.00015373352629965555
691,1197,1,3.074670525993111e-05
692,101,604,0.01857100997699839
693,1063,3,9.224011577979332e-05
694,473,12,0.00036896046311917326
695,69,1212,0.037265006775036504
696,1059,1,3.074670525993111e-05
697,679,1,3.074670525993111e-05
698,375,20,0.0006149341051986222
699,415,18,0.0005534406946787599
700,976,1,3.074670525993111e-05
701,1242,1,3.074670525993111e-05
702,680,6,0.00018448023155958663
703,408,10,0.0003074670525993111
704,782,2,6.149341051986222e-05
705,689,5,0.00015373352629965555
706,1338,1,3.074670525993111e-05
707,522,6,0.00018448023155958663
708,1079,4,0.00012298682103972444
709,674,3,9.224011577979332e-05
710,630,4,0.00012298682103972444
711,11,35288,1.084989735212449
712,575,4,0.00012298682103972444
713,821,1,3.074670525993111e-05
714,401,15,0.0004612005788989666
715,1329,1,3.074670525993111e-05
716,659,8,0.0002459736420794489
717,739,2,6.149341051986222e-05
718,1094,1,3.074670525993111e-05
719,279,46,0.001414348441956831
720,9,48976,1.505850636810386
721,903,2,6.149341051986222e-05
722,1948,1,3.074670525993111e-05
723,741,2,6.149341051986222e-05
724,716,1,3.074670525993111e-05
725,543,1,3.074670525993111e-05
726,897,2,6.149341051986222e-05
727,736,3,9.224011577979332e-05
728,565,5,0.00015373352629965555
729,566,6,0.00018448023155958663
730,457,8,0.0002459736420794489
731,85,833,0.025612005481522614
732,592,2,6.149341051986222e-05
733,1440,1,3.074670525993111e-05
734,281,56,0.001721815494556142
735,687,5,0.00015373352629965555
736,1041,1,3.074670525993111e-05
737,553,4,0.00012298682103972444
738,302,43,0.0013221083261770376
739,288,34,0.0010453879788376577
740,21,14740,0.45320643553138457
741,622,4,0.00012298682103972444
742,927,2,6.149341051986222e-05
743,1027,3,9.224011577979332e-05
744,774,2,6.149341051986222e-05
745,1385,1,3.074670525993111e-05
746,398,13,0.0003997071683791044
747,635,2,6.149341051986222e-05
748,388,17,0.0005226939894188288
749,1233,1,3.074670525993111e-05
750,165,179,0.005503660241527668
751,56,2133,0.06558272231943305
752,151,218,0.006702781746664981
753,992,1,3.074670525993111e-05
754,620,6,0.00018448023155958663
755,1357,1,3.074670525993111e-05
756,205,79,0.0024289897155345577
757,245,68,0.0020907759576753154
758,67,1347,0.041415811985127206
759,325,38,0.001168374799877382
760,895,2,6.149341051986222e-05
761,1127,2,6.149341051986222e-05
762,1060,2,6.149341051986222e-05
763,2348,1,3.074670525993111e-05
764,1638,1,3.074670525993111e-05
765,1017,1,3.074670525993111e-05
766,484,8,0.0002459736420794489
767,334,20,0.0006149341051986222
768,558,13,0.0003997071683791044
769,144,258,0.007932649957062226
770,1071,1,3.074670525993111e-05
771,540,4,0.00012298682103972444
772,168,166,0.005103953073148564
773,598,3,9.224011577979332e-05
774,471,10,0.0003074670525993111
775,287,41,0.0012606149156571755
776,464,4,0.00012298682103972444
777,1109,1,3.074670525993111e-05
778,167,150,0.004612005788989667
779,277,39,0.001199121505137313
780,290,40,0.0012298682103972444
781,300,26,0.0007994143367582088
782,284,44,0.0013528550314369687
783,342,24,0.0007379209262383465
784,367,19,0.000584187399938691
785,588,4,0.00012298682103972444
786,1019,1,3.074670525993111e-05
787,41,4389,0.13494728938583764
788,439,10,0.0003074670525993111
789,206,96,0.002951683704953386
790,46,3256,0.1001112723263357
791,586,3,9.224011577979332e-05
792,572,7,0.00021522693681951774
793,53,2181,0.06705856417190975
794,32,6510,0.20016105124215153
795,336,28,0.000860907747278071
796,275,43,0.0013221083261770376
797,247,64,0.001967789136635591
798,260,56,0.001721815494556142
799,423,10,0.0003074670525993111
800,4005,1,3.074670525993111e-05
801,1240,2,6.149341051986222e-05
802,136,301,0.009254758283239264
803,139,248,0.0076251829044629155
804,411,11,0.0003382137578592422
805,869,1,3.074670525993111e-05
806,1033,1,3.074670525993111e-05
807,425,8,0.0002459736420794489
808,672,1,3.074670525993111e-05
809,825,3,9.224011577979332e-05
810,316,31,0.0009531478630578644
811,731,1,3.074670525993111e-05
812,403,16,0.0004919472841588978
813,1282,1,3.074670525993111e-05
814,256,58,0.001783308905076004
815,654,3,9.224011577979332e-05
816,332,33,0.0010146412735777266
817,628,8,0.0002459736420794489
818,33,5442,0.1673235700245451
819,1860,1,3.074670525993111e-05
820,422,10,0.0003074670525993111
821,885,2,6.149341051986222e-05
822,549,4,0.00012298682103972444
823,2095,1,3.074670525993111e-05
824,185,145,0.0044582722626900105
825,653,1,3.074670525993111e-05
826,380,18,0.0005534406946787599
827,215,84,0.002582723241834213
828,130,314,0.009654465451618369
829,23,11004,0.3383367446802819
830,486,12,0.00036896046311917326
831,612,4,0.00012298682103972444
832,625,5,0.00015373352629965555
833,617,1,3.074670525993111e-05
834,765,1,3.074670525993111e-05
835,552,11,0.0003382137578592422
836,1531,1,3.074670525993111e-05
837,887,1,3.074670525993111e-05
838,314,33,0.0010146412735777266
839,817,2,6.149341051986222e-05
840,386,21,0.0006456808104585533
841,426,15,0.0004612005788989666
842,364,20,0.0006149341051986222
843,433,11,0.0003382137578592422
844,1805,1,3.074670525993111e-05
845,169,153,0.00470424590476946
846,299,39,0.001199121505137313
847,1123,1,3.074670525993111e-05
