,cand_pcc,cand_name,cand_office,cand_office_st,cand_office_district,cand_election_yr,from_dates,through_dates,committee_total,actblue_total,percent
8,C00213512,"PELOSI, NANCY",H,CA,12,2018,"[datetime.date(2017, 10, 1), datetime.date(2018, 7, 1), datetime.date(2017, 4, 1), datetime.date(2018, 4, 1), datetime.date(2017, 1, 1), datetime.date(2017, 7, 1), datetime.date(2018, 5, 17), datetime.date(2018, 1, 1)]","[datetime.date(2017, 12, 31), datetime.date(2018, 9, 30), datetime.date(2017, 6, 30), datetime.date(2018, 5, 16), datetime.date(2017, 3, 31), datetime.date(2017, 9, 30), datetime.date(2018, 6, 30), datetime.date(2018, 3, 31)]",2567117.73,2459120.44,0.9579305270117082
356,C00634188,"WESTBROOK, BRIANNA",H,AZ,08,2018,"[datetime.date(2018, 1, 1), datetime.date(2017, 10, 1), datetime.date(2017, 7, 1), datetime.date(2018, 4, 1), datetime.date(2018, 4, 1), datetime.date(2017, 4, 1), datetime.date(2018, 2, 8)]","[datetime.date(2018, 2, 7), datetime.date(2017, 12, 31), datetime.date(2017, 9, 30), datetime.date(2018, 6, 30), datetime.date(2018, 5, 18), datetime.date(2017, 6, 30), datetime.date(2018, 3, 31)]",39170.67,37285.68,0.951877514477031
1202,C00671107,"FEIGL-DING, ERIC",H,PA,10,2018,"[datetime.date(2018, 7, 1), datetime.date(2018, 4, 26), datetime.date(2018, 4, 1), datetime.date(2018, 2, 22)]","[datetime.date(2018, 9, 30), datetime.date(2018, 6, 30), datetime.date(2018, 4, 25), datetime.date(2018, 3, 31)]",208455.31,196615.46,0.9432019745623175
1218,C00672113,"SANDERS, LEVI",H,NH,01,2018,"[datetime.date(2018, 8, 23), datetime.date(2018, 1, 1), datetime.date(2018, 7, 1), datetime.date(2018, 4, 1)]","[datetime.date(2018, 9, 30), datetime.date(2018, 3, 31), datetime.date(2018, 8, 22), datetime.date(2018, 6, 30)]",41894.38,39473.24,0.942208477604872
904,C00657189,"CORBIN-JOHNSON, SHAVONNIA",H,PA,04,2018,"[datetime.date(2018, 4, 26), datetime.date(2018, 1, 1), datetime.date(2018, 4, 1), datetime.date(2017, 10, 1)]","[datetime.date(2018, 6, 30), datetime.date(2018, 3, 31), datetime.date(2018, 4, 25), datetime.date(2017, 12, 31)]",239856.38,225879.38,0.9417276288418928
661,C00649087,"RICHARDSON, DAVID",H,FL,27,2018,"[datetime.date(2018, 1, 1), datetime.date(2017, 7, 1), datetime.date(2018, 4, 1), datetime.date(2017, 10, 1), datetime.date(2018, 7, 1), datetime.date(2018, 8, 9)]","[datetime.date(2018, 3, 31), datetime.date(2017, 9, 30), datetime.date(2018, 6, 30), datetime.date(2017, 12, 31), datetime.date(2018, 8, 8), datetime.date(2018, 9, 30)]",1838683.36,1718867.66,0.9348361427494508
1143,C00667964,"O'CONNOR, DANIEL JAY",H,OH,12,2018,"[datetime.date(2018, 4, 19), datetime.date(2018, 7, 19), datetime.date(2018, 4, 1), datetime.date(2018, 1, 1), datetime.date(2018, 8, 28), datetime.date(2018, 7, 1)]","[datetime.date(2018, 6, 30), datetime.date(2018, 8, 27), datetime.date(2018, 4, 18), datetime.date(2018, 3, 31), datetime.date(2018, 9, 30), datetime.date(2018, 7, 18)]",6509845.87,6060188.0,0.9309264951921205
309,C00630426,"OSSOFF, T. JONATHAN",H,GA,06,2017,"[datetime.date(2018, 1, 1), datetime.date(2017, 10, 1), datetime.date(2017, 7, 11), datetime.date(2017, 6, 1), datetime.date(2018, 7, 1), datetime.date(2016, 12, 21), datetime.date(2017, 3, 30), datetime.date(2018, 4, 1)]","[datetime.date(2018, 3, 31), datetime.date(2017, 12, 31), datetime.date(2017, 9, 30), datetime.date(2017, 7, 10), datetime.date(2018, 9, 30), datetime.date(2017, 3, 29), datetime.date(2017, 5, 31), datetime.date(2018, 6, 30)]",29536942.08,27468759.69,0.9299798068331386
540,C00640623,"JONES, DOUG",S,AL,00,2018,"[datetime.date(2017, 7, 27), datetime.date(2018, 7, 1), datetime.date(2018, 1, 2), datetime.date(2017, 7, 1), datetime.date(2017, 10, 1), datetime.date(2018, 4, 1), datetime.date(2017, 11, 23), datetime.date(2017, 7, 1), datetime.date(2017, 5, 8)]","[datetime.date(2017, 9, 30), datetime.date(2018, 9, 30), datetime.date(2018, 3, 31), datetime.date(2017, 7, 26), datetime.date(2017, 11, 22), datetime.date(2018, 6, 30), datetime.date(2018, 1, 1), datetime.date(2017, 7, 31), datetime.date(2017, 6, 30)]",23961141.21,22212934.94,0.9270399412666372
547,C00640870,"RICHARDSON, CHARDO",H,FL,07,2018,"[datetime.date(2017, 5, 20), datetime.date(2018, 8, 9), datetime.date(2018, 4, 1), datetime.date(2018, 7, 1), datetime.date(2018, 1, 1), datetime.date(2017, 7, 1), datetime.date(2017, 10, 1)]","[datetime.date(2017, 6, 30), datetime.date(2018, 9, 30), datetime.date(2018, 6, 30), datetime.date(2018, 8, 8), datetime.date(2018, 3, 31), datetime.date(2017, 9, 30), datetime.date(2017, 12, 31)]",40659.09,37532.09,0.9230922285766848
723,C00650283,"WHITNEY, ROBERT (TOBY)",H,WA,08,2018,"[datetime.date(2017, 7, 1), datetime.date(2017, 10, 1), datetime.date(2018, 1, 1)]","[datetime.date(2017, 9, 30), datetime.date(2017, 12, 31), datetime.date(2018, 3, 31)]",98200.99,90005.99,0.9165487028185765
617,C00647925,"KEIRSTEAD, HANS",H,CA,48,2018,"[datetime.date(2017, 4, 1), datetime.date(2017, 7, 1), datetime.date(2018, 7, 1), datetime.date(2018, 5, 17), datetime.date(2017, 10, 1), datetime.date(2018, 4, 1), datetime.date(2018, 1, 1)]","[datetime.date(2017, 6, 30), datetime.date(2017, 9, 30), datetime.date(2018, 9, 30), datetime.date(2018, 6, 30), datetime.date(2017, 12, 31), datetime.date(2018, 5, 16), datetime.date(2018, 3, 31)]",979382.28,888527.97,0.9072330469364832
987,C00660530,"HADER, SHANNON",H,WA,08,2018,"[datetime.date(2018, 7, 19), datetime.date(2018, 1, 1), datetime.date(2018, 7, 1), datetime.date(2017, 10, 1), datetime.date(2018, 4, 1)]","[datetime.date(2018, 9, 30), datetime.date(2018, 3, 31), datetime.date(2018, 7, 18), datetime.date(2017, 12, 31), datetime.date(2018, 6, 30)]",433940.37,389126.91,0.8967289906675426
298,C00629675,"CARRILLO DONO, WENDY MARIA",H,CA,34,2017,"[datetime.date(2017, 7, 1), datetime.date(2017, 4, 1), datetime.date(2017, 4, 25), datetime.date(2017, 1, 1), datetime.date(2017, 3, 16)]","[datetime.date(2017, 9, 30), datetime.date(2017, 4, 24), datetime.date(2017, 6, 30), datetime.date(2017, 3, 15), datetime.date(2017, 3, 31)]",145548.88,130147.88,0.8941867501831687
