,cand_pcc,cand_name,cand_office,cand_office_st,cand_office_district,cand_election_yr,from_dates,through_dates,committee_total,actblue_total,percent
425,C00637223,"SHEEHAN, MOLLY",H,PA,05,2018,"[datetime.date(2018, 1, 1), datetime.date(2018, 7, 1), datetime.date(2018, 4, 1), datetime.date(2017, 10, 1), datetime.date(2017, 7, 1), datetime.date(2018, 4, 26), datetime.date(2017, 4, 1)]","[datetime.date(2018, 3, 31), datetime.date(2018, 9, 30), datetime.date(2018, 4, 25), datetime.date(2017, 12, 31), datetime.date(2017, 9, 30), datetime.date(2018, 6, 30), datetime.date(2017, 6, 30)]",67483.13,47895.75,0.7097440501055596
1070,C00664417,"HUNTER, CHRISTOPHER J.",H,FL,12,2018,"[datetime.date(2018, 4, 1), datetime.date(2018, 1, 1), datetime.date(2018, 7, 1), datetime.date(2018, 8, 9)]","[datetime.date(2018, 6, 30), datetime.date(2018, 3, 31), datetime.date(2018, 8, 8), datetime.date(2018, 9, 30)]",628259.08,445582.76,0.7092340949533114
491,C00639310,"EASTMAN, KARA",H,NE,02,2018,"[datetime.date(2018, 4, 1), datetime.date(2018, 7, 1), datetime.date(2017, 10, 1), datetime.date(2018, 1, 1), datetime.date(2018, 4, 26), datetime.date(2017, 7, 1), datetime.date(2017, 4, 1)]","[datetime.date(2018, 4, 25), datetime.date(2018, 9, 30), datetime.date(2017, 12, 31), datetime.date(2018, 3, 31), datetime.date(2018, 6, 30), datetime.date(2017, 9, 30), datetime.date(2017, 6, 30)]",1606676.01,1137990.68,0.7082888354074571
1160,C00668715,"ZIMMERMAN, JENNIFER MIJARES DR.",H,FL,01,2018,"[datetime.date(2018, 7, 1), datetime.date(2018, 1, 1), datetime.date(2018, 8, 9), datetime.date(2018, 4, 1)]","[datetime.date(2018, 8, 8), datetime.date(2018, 3, 31), datetime.date(2018, 9, 30), datetime.date(2018, 6, 30)]",41545.18,29375.55,0.7070748038641306
1041,C00662981,"CONYERS, IAN",H,MI,13,2018,"[datetime.date(2018, 4, 1), datetime.date(2018, 1, 1), datetime.date(2018, 7, 1), datetime.date(2018, 7, 19), datetime.date(2017, 12, 11)]","[datetime.date(2018, 6, 30), datetime.date(2018, 3, 31), datetime.date(2018, 7, 18), datetime.date(2018, 9, 30), datetime.date(2017, 12, 31)]",177748.47,125235.82,0.7045676398789819
390,C00636175,"KOVACS, WILLIAM RICHARD",H,AZ,02,2018,"[datetime.date(2018, 4, 1), datetime.date(2017, 1, 1), datetime.date(2017, 4, 1), datetime.date(2018, 1, 1), datetime.date(2018, 7, 1), datetime.date(2017, 10, 1), datetime.date(2017, 7, 1)]","[datetime.date(2018, 6, 30), datetime.date(2017, 3, 31), datetime.date(2017, 6, 30), datetime.date(2018, 3, 31), datetime.date(2018, 8, 8), datetime.date(2017, 12, 31), datetime.date(2017, 9, 30)]",51602.32,36352.59,0.7044758840300203
794,C00652446,"WRIGHT, RICHARD THOMAS",H,MN,01,2018,"[datetime.date(2017, 6, 17), datetime.date(2017, 10, 1), datetime.date(2018, 1, 1), datetime.date(2018, 4, 1), datetime.date(2018, 7, 1)]","[datetime.date(2017, 9, 30), datetime.date(2017, 12, 31), datetime.date(2018, 3, 31), datetime.date(2018, 6, 30), datetime.date(2018, 9, 30)]",72372.95,50980.95,0.7044199524822464
758,C00651158,"WELDER, BRENT",H,KS,03,2018,"[datetime.date(2018, 7, 19), datetime.date(2017, 10, 1), datetime.date(2018, 7, 1), datetime.date(2018, 4, 1), datetime.date(2017, 7, 3), datetime.date(2018, 1, 1)]","[datetime.date(2018, 9, 30), datetime.date(2017, 12, 31), datetime.date(2018, 7, 18), datetime.date(2018, 6, 30), datetime.date(2017, 9, 30), datetime.date(2018, 3, 31)]",868956.11,611770.52,0.7040292518341347
445,C00637868,"ALLRED, COLIN",H,TX,32,2018,"[datetime.date(2018, 2, 15), datetime.date(2017, 4, 23), datetime.date(2018, 1, 1), datetime.date(2017, 7, 1), datetime.date(2018, 4, 1), datetime.date(2017, 10, 1), datetime.date(2018, 7, 1), datetime.date(2018, 5, 3)]","[datetime.date(2018, 3, 31), datetime.date(2017, 6, 30), datetime.date(2018, 2, 14), datetime.date(2017, 9, 30), datetime.date(2018, 5, 2), datetime.date(2017, 12, 31), datetime.date(2018, 9, 30), datetime.date(2018, 6, 30)]",3546292.32,2495840.2,0.7037886262010122
170,C00503052,"JEFFRIES, HAKEEM",H,NY,08,2018,"[datetime.date(2018, 1, 1), datetime.date(2018, 6, 7), datetime.date(2018, 7, 1), datetime.date(2017, 1, 1), datetime.date(2017, 10, 1), datetime.date(2017, 4, 1), datetime.date(2018, 4, 1), datetime.date(2017, 7, 1)]","[datetime.date(2018, 3, 31), datetime.date(2018, 6, 30), datetime.date(2018, 9, 30), datetime.date(2017, 3, 31), datetime.date(2017, 12, 31), datetime.date(2017, 6, 30), datetime.date(2018, 6, 6), datetime.date(2017, 9, 30)]",787367.87,554128.17,0.7037729009694034
566,C00641605,"MAZESKI, KELLY",H,IL,06,2018,"[datetime.date(2017, 4, 1), datetime.date(2017, 10, 1), datetime.date(2017, 7, 1), datetime.date(2018, 3, 1), datetime.date(2018, 1, 1), datetime.date(2018, 7, 1), datetime.date(2018, 4, 1)]","[datetime.date(2017, 6, 30), datetime.date(2017, 12, 31), datetime.date(2017, 9, 30), datetime.date(2018, 3, 31), datetime.date(2018, 2, 28), datetime.date(2018, 9, 30), datetime.date(2018, 6, 30)]",583560.57,410014.6,0.702608471302302
510,C00639773,"HORTON, LAUREN",H,NC,07,2018,"[datetime.date(2018, 1, 1), datetime.date(2018, 4, 1), datetime.date(2017, 7, 1), datetime.date(2017, 4, 1), datetime.date(2018, 4, 19), datetime.date(2018, 7, 1), datetime.date(2017, 10, 1)]","[datetime.date(2018, 3, 31), datetime.date(2018, 4, 18), datetime.date(2017, 9, 30), datetime.date(2017, 6, 30), datetime.date(2018, 6, 30), datetime.date(2018, 9, 30), datetime.date(2017, 12, 31)]",633434.09,443058.52,0.699454808313206
1295,C00681296,"TORRES RAY, PATRICIA",H,MN,05,2018,"[datetime.date(2018, 6, 5), datetime.date(2018, 7, 26), datetime.date(2018, 7, 1)]","[datetime.date(2018, 6, 30), datetime.date(2018, 9, 30), datetime.date(2018, 7, 25)]",90021.0,62913.0,0.6988702636051588
702,C00649913,"SPANBERGER, ABIGAIL",H,VA,07,2018,"[datetime.date(2017, 10, 1), datetime.date(2018, 7, 1), datetime.date(2018, 1, 1), datetime.date(2017, 6, 20), datetime.date(2018, 4, 1), datetime.date(2018, 5, 24)]","[datetime.date(2017, 12, 31), datetime.date(2018, 9, 30), datetime.date(2018, 3, 31), datetime.date(2017, 9, 30), datetime.date(2018, 5, 23), datetime.date(2018, 6, 30)]",4193830.17,2927466.52,0.6980412657005612
1282,C00678045,"HALE, CHRISTOPHER JOLLY",H,TN,04,2018,"[datetime.date(2018, 7, 1), datetime.date(2018, 7, 14), datetime.date(2018, 5, 11)]","[datetime.date(2018, 7, 13), datetime.date(2018, 9, 30), datetime.date(2018, 6, 30)]",28850.68,20108.17,0.69697386682047
741,C00650622,"SCHOLTEN, JAMES D.",H,IA,04,2018,"[datetime.date(2017, 10, 1), datetime.date(2017, 7, 1), datetime.date(2018, 7, 1), datetime.date(2018, 5, 17), datetime.date(2018, 4, 1), datetime.date(2018, 1, 1)]","[datetime.date(2017, 12, 31), datetime.date(2017, 9, 30), datetime.date(2018, 9, 30), datetime.date(2018, 6, 30), datetime.date(2018, 5, 16), datetime.date(2018, 3, 31)]",1350499.11,940937.14,0.6967328841853142
555,C00641035,"BEALS, JEFFREY",H,NY,19,2018,"[datetime.date(2018, 4, 1), datetime.date(2017, 10, 1), datetime.date(2018, 6, 7), datetime.date(2018, 1, 1), datetime.date(2017, 4, 1), datetime.date(2017, 7, 1)]","[datetime.date(2018, 6, 6), datetime.date(2017, 12, 31), datetime.date(2018, 6, 30), datetime.date(2018, 3, 31), datetime.date(2017, 6, 30), datetime.date(2017, 9, 30)]",307689.72,214270.89,0.6963862491083551
705,C00649962,"CHENEY, CAROLE",H,IL,06,2018,"[datetime.date(2017, 10, 1), datetime.date(2018, 1, 1), datetime.date(2018, 3, 1), datetime.date(2017, 4, 1)]","[datetime.date(2017, 12, 31), datetime.date(2018, 2, 28), datetime.date(2018, 3, 31), datetime.date(2017, 9, 30)]",346404.48,241144.48,0.6961355696092615
492,C00639419,"STEELE, DAYNA MS.",H,TX,36,2018,"[datetime.date(2017, 7, 1), datetime.date(2017, 10, 1), datetime.date(2018, 7, 1), datetime.date(2018, 2, 15), datetime.date(2018, 1, 1), datetime.date(2018, 4, 1), datetime.date(2017, 4, 1)]","[datetime.date(2017, 9, 30), datetime.date(2017, 12, 31), datetime.date(2018, 9, 30), datetime.date(2018, 3, 31), datetime.date(2018, 2, 14), datetime.date(2018, 6, 30), datetime.date(2017, 6, 30)]",778174.11,540853.04,0.6950283144218201
628,C00648220,"KIM, ANDY",H,NJ,03,2018,"[datetime.date(2017, 10, 1), datetime.date(2017, 4, 1), datetime.date(2018, 5, 17), datetime.date(2018, 1, 1), datetime.date(2017, 7, 1), datetime.date(2018, 4, 1), datetime.date(2018, 7, 1)]","[datetime.date(2017, 12, 31), datetime.date(2017, 6, 30), datetime.date(2018, 6, 30), datetime.date(2018, 3, 31), datetime.date(2017, 9, 30), datetime.date(2018, 5, 16), datetime.date(2018, 9, 30)]",3581997.09,2489587.16,0.6950276891486811
527,C00640219,"SWEARENGIN, PAULA JEAN",S,WV,00,2018,"[datetime.date(2018, 4, 19), datetime.date(2018, 4, 1), datetime.date(2018, 1, 1), datetime.date(2017, 10, 1), datetime.date(2018, 7, 1), datetime.date(2017, 5, 14), datetime.date(2017, 7, 1)]","[datetime.date(2018, 6, 30), datetime.date(2018, 4, 18), datetime.date(2018, 3, 31), datetime.date(2017, 12, 31), datetime.date(2018, 9, 30), datetime.date(2017, 6, 30), datetime.date(2017, 9, 30)]",212868.27,147629.41,0.6935247324554289
629,C00648253,"NEGUSE, JOSEPH",H,CO,02,2018,"[datetime.date(2018, 4, 1), datetime.date(2018, 6, 7), datetime.date(2017, 10, 1), datetime.date(2018, 7, 1), datetime.date(2017, 4, 1), datetime.date(2018, 1, 1), datetime.date(2017, 7, 1)]","[datetime.date(2018, 6, 6), datetime.date(2018, 6, 30), datetime.date(2017, 12, 31), datetime.date(2018, 9, 30), datetime.date(2017, 6, 30), datetime.date(2018, 3, 31), datetime.date(2017, 9, 30)]",767149.38,531935.83,0.693392765304718
337,C00633057,"HOWLAND, AMANDA",H,IL,06,2018,"[datetime.date(2017, 10, 1), datetime.date(2018, 1, 1), datetime.date(2017, 1, 1), datetime.date(2018, 7, 1), datetime.date(2018, 4, 1), datetime.date(2018, 3, 1), datetime.date(2017, 7, 1), datetime.date(2017, 4, 1)]","[datetime.date(2017, 12, 31), datetime.date(2018, 2, 28), datetime.date(2017, 3, 31), datetime.date(2018, 7, 15), datetime.date(2018, 6, 30), datetime.date(2018, 3, 31), datetime.date(2017, 9, 30), datetime.date(2017, 6, 30)]",117612.52,81438.07,0.6924268776827501
1156,C00668574,"HAGAN, MALLORY",H,AL,03,2018,"[datetime.date(2018, 1, 1), datetime.date(2018, 7, 1), datetime.date(2018, 4, 1), datetime.date(2018, 5, 17)]","[datetime.date(2018, 3, 31), datetime.date(2018, 9, 30), datetime.date(2018, 5, 16), datetime.date(2018, 6, 30)]",313944.05,217244.2,0.6919838104910733
1114,C00666438,"CHAUNCEY, SHELLY WILSON",H,PA,05,2018,"[datetime.date(2018, 4, 1), datetime.date(2018, 1, 1), datetime.date(2018, 7, 1)]","[datetime.date(2018, 6, 30), datetime.date(2018, 3, 31), datetime.date(2018, 9, 30)]",24116.0,16642.0,0.6900812738430917
846,C00654640,"KENNEDY, RICHARD",H,TX,17,2018,"[datetime.date(2017, 9, 4), datetime.date(2018, 4, 1), datetime.date(2018, 2, 15), datetime.date(2018, 1, 1), datetime.date(2018, 7, 1)]","[datetime.date(2017, 12, 31), datetime.date(2018, 6, 30), datetime.date(2018, 3, 31), datetime.date(2018, 2, 14), datetime.date(2018, 9, 30)]",55231.59,38086.37,0.6895758387545968
1235,C00673160,"SHERMAN, HOWARD",S,MS,00,2018,"[datetime.date(2018, 7, 1), datetime.date(2018, 5, 17), datetime.date(2018, 1, 1), datetime.date(2018, 4, 1), datetime.date(2018, 6, 7)]","[datetime.date(2018, 9, 30), datetime.date(2018, 6, 6), datetime.date(2018, 3, 31), datetime.date(2018, 5, 16), datetime.date(2018, 6, 30)]",267411.63,184336.63,0.6893366230930196
1039,C00662874,"KULKARNI, SRI PRESTON",H,TX,22,2018,"[datetime.date(2017, 10, 1), datetime.date(2018, 1, 1), datetime.date(2018, 4, 1), datetime.date(2018, 5, 3), datetime.date(2018, 7, 1), datetime.date(2018, 2, 15)]","[datetime.date(2017, 12, 31), datetime.date(2018, 2, 14), datetime.date(2018, 5, 2), datetime.date(2018, 6, 30), datetime.date(2018, 9, 30), datetime.date(2018, 3, 31)]",935375.2,644760.18,0.6893064729533134
730,C00650440,"VANOSTRAN, CORT",H,MO,02,2018,"[datetime.date(2018, 7, 19), datetime.date(2017, 10, 1), datetime.date(2018, 4, 1), datetime.date(2018, 7, 1), datetime.date(2017, 7, 14), datetime.date(2018, 1, 1)]","[datetime.date(2018, 9, 30), datetime.date(2017, 12, 31), datetime.date(2018, 6, 30), datetime.date(2018, 7, 18), datetime.date(2017, 9, 30), datetime.date(2018, 3, 31)]",1507792.4,1034526.06,0.6861196939313396
687,C00649640,"MONTGOMERY, CHALIS POMEROY",H,GA,10,2018,"[datetime.date(2018, 4, 1), datetime.date(2018, 7, 1), datetime.date(2018, 5, 3), datetime.date(2017, 7, 1), datetime.date(2017, 10, 1), datetime.date(2018, 1, 1)]","[datetime.date(2018, 5, 2), datetime.date(2018, 9, 30), datetime.date(2018, 6, 30), datetime.date(2017, 9, 30), datetime.date(2017, 12, 31), datetime.date(2018, 3, 31)]",99165.66,67981.21,0.685531765734227
790,C00652321,"CARRIGAN, SEAN J MR.",H,SC,02,2018,"[datetime.date(2018, 5, 24), datetime.date(2018, 4, 1), datetime.date(2018, 7, 1), datetime.date(2018, 1, 1)]","[datetime.date(2018, 6, 30), datetime.date(2018, 5, 23), datetime.date(2018, 9, 30), datetime.date(2018, 3, 31)]",91040.66,62397.99,0.6853859583179647
949,C00658773,"DE LEON, KEVIN",S,CA,00,2018,"[datetime.date(2017, 10, 1), datetime.date(2017, 10, 14), datetime.date(2018, 5, 17), datetime.date(2018, 7, 1), datetime.date(2018, 4, 1), datetime.date(2018, 1, 1)]","[datetime.date(2017, 12, 31), datetime.date(2017, 12, 31), datetime.date(2018, 6, 30), datetime.date(2018, 9, 30), datetime.date(2018, 5, 16), datetime.date(2018, 3, 31)]",1807621.05,1238259.41,0.6850215702013428
884,C00656280,"GHORBANI, SHIREEN SARAH",H,UT,02,2018,"[datetime.date(2018, 4, 1), datetime.date(2018, 7, 1), datetime.date(2018, 1, 1), datetime.date(2018, 4, 9), datetime.date(2017, 10, 1)]","[datetime.date(2018, 4, 8), datetime.date(2018, 9, 30), datetime.date(2018, 3, 31), datetime.date(2018, 6, 30), datetime.date(2017, 12, 31)]",238333.86,163096.34,0.6843187954913331
447,C00637884,"FRICK, C. WILLIAM",H,MD,06,2018,"[datetime.date(2017, 10, 1), datetime.date(2018, 4, 1), datetime.date(2018, 1, 1), datetime.date(2018, 7, 1), datetime.date(2017, 7, 1), datetime.date(2017, 4, 1)]","[datetime.date(2017, 12, 31), datetime.date(2018, 6, 30), datetime.date(2018, 3, 31), datetime.date(2018, 8, 10), datetime.date(2017, 9, 30), datetime.date(2017, 6, 30)]",214560.0,146819.0,0.6842794556301268
691,C00649681,"RIEGER, CHRIS",H,PA,16,2018,"[datetime.date(2018, 4, 1), datetime.date(2017, 8, 22), datetime.date(2018, 7, 1), datetime.date(2018, 1, 1)]","[datetime.date(2018, 6, 30), datetime.date(2017, 12, 31), datetime.date(2018, 9, 30), datetime.date(2018, 3, 31)]",23536.85,16090.87,0.6836458574533126
168,C00502575,"RUIZ, RAUL DR",H,CA,36,2018,"[datetime.date(2017, 1, 1), datetime.date(2018, 4, 1), datetime.date(2018, 7, 1), datetime.date(2017, 7, 1), datetime.date(2018, 1, 1), datetime.date(2017, 4, 1), datetime.date(2017, 10, 1), datetime.date(2018, 5, 17)]","[datetime.date(2017, 3, 31), datetime.date(2018, 5, 16), datetime.date(2018, 9, 30), datetime.date(2017, 9, 30), datetime.date(2018, 3, 31), datetime.date(2017, 6, 30), datetime.date(2017, 12, 31), datetime.date(2018, 6, 30)]",1769363.62,1209569.86,0.6836185882469993
892,C00656686,"MALINOWSKI, TOM",H,NJ,07,2018,"[datetime.date(2018, 1, 1), datetime.date(2018, 7, 1), datetime.date(2017, 9, 23), datetime.date(2018, 4, 1), datetime.date(2018, 5, 17)]","[datetime.date(2018, 3, 31), datetime.date(2018, 9, 30), datetime.date(2017, 12, 31), datetime.date(2018, 5, 16), datetime.date(2018, 6, 30)]",3644812.76,2489638.2,0.6830634010401128
143,C00492645,"MURPHY, CHRISTOPHER S MR",S,CT,00,2018,"[datetime.date(2017, 4, 1), datetime.date(2017, 1, 1), datetime.date(2017, 10, 1), datetime.date(2018, 4, 29), datetime.date(2017, 7, 1), datetime.date(2018, 1, 1), datetime.date(2018, 4, 1), datetime.date(2018, 7, 1)]","[datetime.date(2017, 6, 30), datetime.date(2017, 3, 31), datetime.date(2017, 12, 31), datetime.date(2018, 6, 30), datetime.date(2017, 9, 30), datetime.date(2018, 3, 31), datetime.date(2018, 4, 28), datetime.date(2018, 9, 30)]",10304270.24,7022947.51,0.6815569998094304
133,C00461061,"BERA, AMERISH",H,CA,07,2018,"[datetime.date(2017, 7, 1), datetime.date(2017, 4, 1), datetime.date(2017, 1, 1), datetime.date(2018, 4, 1), datetime.date(2018, 7, 1), datetime.date(2018, 5, 17), datetime.date(2017, 10, 1), datetime.date(2018, 1, 1)]","[datetime.date(2017, 9, 30), datetime.date(2017, 6, 30), datetime.date(2017, 3, 31), datetime.date(2018, 5, 16), datetime.date(2018, 9, 30), datetime.date(2018, 6, 30), datetime.date(2017, 12, 31), datetime.date(2018, 3, 31)]",1583350.88,1071708.96,0.6768613157937551
1216,C00671875,"YUKSEL, YAHYA",H,AZ,02,2018,"[datetime.date(2018, 8, 9), datetime.date(2018, 7, 1), datetime.date(2018, 2, 23)]","[datetime.date(2018, 9, 30), datetime.date(2018, 8, 8), datetime.date(2018, 6, 30)]",51349.4,34733.4,0.6764129668506351
985,C00660472,"LONG, CAROLYN N.",H,WA,03,2018,"[datetime.date(2018, 7, 1), datetime.date(2018, 7, 19), datetime.date(2018, 4, 1), datetime.date(2017, 10, 1), datetime.date(2018, 1, 1)]","[datetime.date(2018, 7, 18), datetime.date(2018, 9, 30), datetime.date(2018, 6, 30), datetime.date(2017, 12, 31), datetime.date(2018, 3, 31)]",2058068.23,1391129.87,0.675939626160985
266,C00606939,"ROSEN, JACKY",H,NV,03,2018,"[datetime.date(2018, 1, 1), datetime.date(2017, 10, 1), datetime.date(2018, 4, 1), datetime.date(2017, 7, 1), datetime.date(2017, 1, 1), datetime.date(2018, 5, 24), datetime.date(2018, 7, 1), datetime.date(2017, 4, 1)]","[datetime.date(2018, 3, 31), datetime.date(2017, 12, 31), datetime.date(2018, 5, 23), datetime.date(2017, 9, 30), datetime.date(2017, 3, 31), datetime.date(2018, 6, 30), datetime.date(2018, 9, 30), datetime.date(2017, 6, 30)]",13642423.24,9213189.77,0.6753338177477625
1109,C00666230,"TURNER, D LEE",H,SC,04,2018,"[datetime.date(2018, 5, 24), datetime.date(2018, 1, 1), datetime.date(2018, 7, 27), datetime.date(2018, 4, 1)]","[datetime.date(2018, 6, 30), datetime.date(2018, 3, 31), datetime.date(2018, 9, 28), datetime.date(2018, 5, 23)]",30932.86,20876.71,0.6749039694357392
587,C00646844,"AXNE, CINDY",H,IA,03,2018,"[datetime.date(2018, 4, 1), datetime.date(2018, 5, 17), datetime.date(2017, 4, 1), datetime.date(2018, 1, 1), datetime.date(2017, 7, 1), datetime.date(2018, 7, 1), datetime.date(2017, 10, 1)]","[datetime.date(2018, 5, 16), datetime.date(2018, 6, 30), datetime.date(2017, 6, 30), datetime.date(2018, 3, 31), datetime.date(2017, 9, 30), datetime.date(2018, 9, 30), datetime.date(2017, 12, 31)]",2915334.03,1966569.01,0.674560441363901
568,C00646372,"TODD, IAN ANDREW",H,MN,06,2018,"[datetime.date(2017, 4, 1), datetime.date(2018, 4, 1), datetime.date(2017, 10, 1), datetime.date(2018, 7, 26), datetime.date(2017, 7, 1), datetime.date(2018, 1, 1), datetime.date(2018, 7, 1)]","[datetime.date(2017, 6, 30), datetime.date(2018, 6, 30), datetime.date(2017, 12, 31), datetime.date(2018, 9, 30), datetime.date(2017, 9, 30), datetime.date(2018, 3, 31), datetime.date(2018, 7, 25)]",67005.19,45198.09,0.6745461060553667
595,C00647057,"BURCH, LORIE LOUISE",H,TX,03,2018,"[datetime.date(2017, 10, 1), datetime.date(2018, 4, 1), datetime.date(2018, 5, 3), datetime.date(2018, 7, 1), datetime.date(2017, 4, 1), datetime.date(2018, 2, 15), datetime.date(2017, 7, 1), datetime.date(2018, 1, 1)]","[datetime.date(2017, 12, 31), datetime.date(2018, 5, 2), datetime.date(2018, 6, 30), datetime.date(2018, 9, 30), datetime.date(2017, 6, 30), datetime.date(2018, 3, 31), datetime.date(2017, 9, 30), datetime.date(2018, 2, 14)]",241141.59,162355.18,0.6732773886080787
299,C00629691,"HERNANDEZ, SARA",H,CA,34,2017,"[datetime.date(2018, 7, 1), datetime.date(2017, 10, 1), datetime.date(2017, 1, 1), datetime.date(2018, 1, 1), datetime.date(2017, 4, 1), datetime.date(2017, 7, 1), datetime.date(2017, 3, 16), datetime.date(2018, 4, 1)]","[datetime.date(2018, 9, 30), datetime.date(2017, 12, 31), datetime.date(2017, 3, 15), datetime.date(2018, 3, 31), datetime.date(2017, 6, 30), datetime.date(2017, 9, 30), datetime.date(2017, 3, 31), datetime.date(2018, 6, 30)]",321725.31,216290.31,0.6722825443854573
842,C00654509,"KOH, DANIEL ARRIGG",H,MA,03,2018,"[datetime.date(2018, 8, 16), datetime.date(2018, 1, 1), datetime.date(2017, 7, 1), datetime.date(2018, 7, 1), datetime.date(2018, 4, 1), datetime.date(2017, 10, 1)]","[datetime.date(2018, 9, 30), datetime.date(2018, 3, 31), datetime.date(2017, 9, 30), datetime.date(2018, 8, 15), datetime.date(2018, 6, 30), datetime.date(2017, 12, 31)]",2995307.51,2013526.52,0.6722269794596148
528,C00640227,"DEVITO, MICHAEL JR",H,NY,11,2018,"[datetime.date(2017, 7, 1), datetime.date(2018, 4, 1), datetime.date(2017, 4, 1), datetime.date(2018, 7, 1), datetime.date(2018, 6, 7), datetime.date(2018, 1, 1), datetime.date(2017, 10, 1)]","[datetime.date(2017, 9, 30), datetime.date(2018, 6, 6), datetime.date(2017, 6, 30), datetime.date(2018, 9, 30), datetime.date(2018, 6, 30), datetime.date(2018, 3, 31), datetime.date(2017, 12, 31)]",47679.77,31978.43,0.6706917839578506
935,C00658419,"SHAPIRO, M. DAVID",H,FL,16,2018,"[datetime.date(2018, 7, 1), datetime.date(2017, 10, 1), datetime.date(2018, 4, 1), datetime.date(2018, 1, 1), datetime.date(2018, 8, 9)]","[datetime.date(2018, 8, 8), datetime.date(2017, 12, 31), datetime.date(2018, 6, 30), datetime.date(2018, 3, 31), datetime.date(2018, 9, 30)]",1759922.14,1179316.69,0.670095945267215
449,C00637918,"HUFFSTETLER, ROGER DEAN RD",H,VA,05,2018,"[datetime.date(2017, 7, 1), datetime.date(2018, 7, 1), datetime.date(2018, 4, 1), datetime.date(2017, 4, 1), datetime.date(2018, 4, 16), datetime.date(2017, 10, 1), datetime.date(2018, 1, 1)]","[datetime.date(2017, 9, 30), datetime.date(2018, 9, 30), datetime.date(2018, 4, 15), datetime.date(2017, 6, 30), datetime.date(2018, 6, 30), datetime.date(2017, 12, 31), datetime.date(2018, 3, 31)]",953030.0,638227.42,0.6696824024427354
606,C00647461,"MCCLURE, JESSICA",H,NE,01,2018,"[datetime.date(2017, 7, 1), datetime.date(2018, 7, 1), datetime.date(2017, 10, 1), datetime.date(2018, 1, 1), datetime.date(2017, 4, 1), datetime.date(2018, 4, 26), datetime.date(2018, 4, 1)]","[datetime.date(2017, 9, 30), datetime.date(2018, 9, 30), datetime.date(2017, 12, 31), datetime.date(2018, 3, 31), datetime.date(2017, 6, 30), datetime.date(2018, 6, 30), datetime.date(2018, 4, 25)]",55873.26,37378.48,0.6689869178923872
355,C00634139,"PRIGG, THOMAS LEE",H,PA,14,2018,"[datetime.date(2017, 10, 1), datetime.date(2017, 1, 1), datetime.date(2018, 4, 1), datetime.date(2018, 4, 26), datetime.date(2017, 7, 1), datetime.date(2018, 1, 1), datetime.date(2017, 4, 1)]","[datetime.date(2017, 12, 31), datetime.date(2017, 3, 31), datetime.date(2018, 4, 25), datetime.date(2018, 6, 30), datetime.date(2017, 9, 30), datetime.date(2018, 3, 31), datetime.date(2017, 6, 30)]",48065.99,32130.07,0.668457468576014
339,C00633370,"DUNCAN, JOHN WESLEY",H,TX,06,2018,"[datetime.date(2017, 4, 1), datetime.date(2017, 10, 1), datetime.date(2017, 1, 1), datetime.date(2018, 1, 1), datetime.date(2017, 7, 1), datetime.date(2018, 4, 1), datetime.date(2018, 2, 15)]","[datetime.date(2017, 6, 30), datetime.date(2017, 12, 31), datetime.date(2017, 3, 31), datetime.date(2018, 2, 14), datetime.date(2017, 9, 30), datetime.date(2018, 5, 3), datetime.date(2018, 3, 31)]",26775.8,17871.67,0.6674560610700707
1220,C00672162,"BROWN, BRANDON PENDARVIS",H,SC,04,2018,"[datetime.date(2018, 5, 24), datetime.date(2018, 2, 1), datetime.date(2018, 6, 7), datetime.date(2018, 4, 1), datetime.date(2018, 7, 1)]","[datetime.date(2018, 6, 6), datetime.date(2018, 3, 31), datetime.date(2018, 6, 30), datetime.date(2018, 5, 23), datetime.date(2018, 9, 30)]",40325.99,26869.92,0.6663176775077314
709,C00650028,"RITTEREISER, JASON",H,WA,08,2018,"[datetime.date(2018, 1, 1), datetime.date(2018, 7, 1), datetime.date(2018, 7, 19), datetime.date(2017, 10, 1), datetime.date(2017, 7, 1), datetime.date(2018, 4, 1)]","[datetime.date(2018, 3, 31), datetime.date(2018, 7, 18), datetime.date(2018, 9, 30), datetime.date(2017, 12, 31), datetime.date(2017, 9, 30), datetime.date(2018, 6, 30)]",1007098.65,670929.98,0.6662008533126322
489,C00639286,"WESTIN, JASON",H,TX,07,2018,"[datetime.date(2018, 1, 1), datetime.date(2017, 10, 1), datetime.date(2018, 2, 15), datetime.date(2018, 7, 1), datetime.date(2018, 4, 1), datetime.date(2017, 7, 1), datetime.date(2017, 4, 1)]","[datetime.date(2018, 2, 14), datetime.date(2017, 12, 31), datetime.date(2018, 3, 31), datetime.date(2018, 9, 30), datetime.date(2018, 6, 30), datetime.date(2017, 9, 30), datetime.date(2017, 6, 30)]",523786.46,348564.98,0.6654715358621526
693,C00649715,"FARAHI, HERMON",H,NV,03,2018,"[datetime.date(2017, 10, 1), datetime.date(2018, 1, 1)]","[datetime.date(2017, 12, 31), datetime.date(2018, 3, 31)]",33441.72,22228.72,0.6647002606325273
