,contributor_state,recipient_state,count,sum
3372,NC,WV,1566,53215.85
3373,ND,WV,37,835.53
3374,NE,WV,204,10582.55
3375,NH,WV,362,10998.04
3376,NJ,WV,2268,131275.39
3377,NL,WV,1,1.11
3378,NM,WV,604,13786.76
3379,NS,WV,1,3.63
3380,NV,WV,350,22473.04
3381,NY,WV,9926,895200.03
3382,OH,WV,1670,40266.54
3383,OK,WV,236,4591.25
3384,ON,WV,41,463.9
3385,OR,WV,2205,50363.76
3386,PA,WV,2934,140152.38
3387,PE,WV,1,4.38
3388,PR,WV,17,245.56
3389,QC,WV,13,86.47
3390,RI,WV,320,9412.08
3391,SC,WV,419,17647.76
3392,SD,WV,58,951.99
3393,TN,WV,672,23622.93
3394,TX,WV,2825,148410.28
3395,UT,WV,316,12428.2
3396,VA,WV,2678,123320.99
3397,VI,WV,21,5476.98
3398,VT,WV,353,9023.79
3399,WA,WV,3527,97122.41
3400,WI,WV,859,15964.89
3401,WV,WV,7820,494001.59
3402,WY,WV,37,3541.59
3403,ZH,WV,1,7.5
3404,ZZ,WV,295,15216.6
3405,,WV,1,5.0
3406,AK,WY,10,157.2
3407,AL,WY,5,72.83
3408,AR,WY,3,32.73
3409,AZ,WY,50,8761.05
3410,BC,WY,1,3.5
3411,CA,WY,733,41964.35
3412,CO,WY,138,7141.24
3413,CT,WY,47,14270.9
3414,DC,WY,72,7818.07
3415,DE,WY,10,64.43
3416,FL,WY,114,12022.12
3417,GA,WY,21,242.84
3418,GU,WY,1,25.0
3419,HI,WY,15,93.92
3420,IA,WY,6,30.91
3421,ID,WY,36,1529.91
3422,IL,WY,134,1769.88
3423,IN,WY,11,81.63
3424,KS,WY,17,88.67
3425,KY,WY,8,56.12
3426,LA,WY,10,299.83
3427,MA,WY,226,29542.53
3428,MD,WY,115,4608.51
3429,ME,WY,8,62.5
3430,MI,WY,72,1421.68
3431,MN,WY,66,9525.84
3432,MO,WY,21,1086.25
3433,MS,WY,2,24.2
3434,MT,WY,14,1882.87
3435,NC,WY,47,690.9
3436,ND,WY,1,50.0
3437,NE,WY,14,102.28
3438,NH,WY,14,302.68
3439,NJ,WY,60,2535.78
3440,NM,WY,24,299.66
3441,NV,WY,14,6681.67
3442,NY,WY,408,81240.82
3443,OH,WY,45,1214.68
3444,OK,WY,14,67.0
3445,OR,WY,82,1307.81
3446,PA,WY,75,3335.13
3447,RI,WY,10,279.16
3448,SC,WY,12,55.98
3449,SD,WY,13,120.0
3450,TN,WY,14,105.96
3451,TX,WY,96,3881.13
3452,UT,WY,33,6235.71
3453,VA,WY,106,3033.51
3454,VT,WY,7,135.5
3455,WA,WY,144,2525.14
3456,WI,WY,17,232.81
3457,WV,WY,7,169.0
3458,WY,WY,2391,227495.15
3459,ZZ,WY,8,5538.5
