contributor_state,sum,percent
AA,38995.979999999996,0.006902006817561509
AB,11941.25,0.0021135150061674657
AE,171451.32,0.030345645359340118
AK,958193.9100000001,0.16959340166257958
AL,2860821.2600000007,0.5063447011806066
AP,70994.62000000002,0.012565534992329692
AR,1326068.7399999995,0.23470458965347704
AS,5710.66,0.0010107455756407663
AZ,9555598.170000004,1.691271862259092
BC,56654.030000000006,0.01002735413502454
BS,25.0,4.424819441363898e-06
BW,113.0,2.000018387496482e-05
CA,120925188.61,21.40288502048497
CO,9057041.19,1.6030308775498245
CT,11180604.279999994,1.9788862073736153
DC,15503656.599999998,2.744035245436388
DE,1136738.03,0.20119442139526791
FL,24805012.370000005,4.39030803912192
GA,6335526.290000001,1.1213423959705637
GU,18517.980000000003,0.003277548716751514
HE,178.0,3.150471442251096e-05
HH,15.0,2.654891664818339e-06
HI,2123473.85,0.37583953498831385
IA,2541191.689999999,0.449772575765775
ID,657934.2799999999,0.11644961573135032
IL,20449930.910000008,3.6194900746046614
IN,4703333.280000001,0.8324560214623133
KS,2830117.66,0.5009103857326122
KY,2539595.6000000006,0.44949007936328866
LA,1492898.9599999997,0.2642323336879977
MA,29467177.129999988,5.215477529877504
MB,3370.1399999999994,0.000596490439684725
MD,14892502.029999992,2.6358653005158112
ME,2609312.5199999996,0.4618294706836089
MI,10302901.510000004,1.8235391561562193
MN,9845168.940000005,1.742523797168961
MO,7387671.509999998,1.307564500954327
MP,3997.5,0.0007075286286740873
MS,693603.76,0.12276285607404397
MT,4349942.329999998,0.7699083756238306
NA,15.0,2.654891664818339e-06
NB,2074.69,0.0003672051458721306
NC,6833862.589999999,1.2095443219136575
ND,760206.34,0.13455103170720373
NE,1718724.6099999999,0.30420184274714335
NH,2603845.4600000004,0.4608618405486049
NJ,13744180.689999998,2.4326207169092107
NL,1008.21,0.00017844588835909983
NM,5187995.419999999,0.9182377198449143
NS,4312.750000000001,0.0007633256018296862
NT,536.0,9.486812882284197e-05
NU,149.0,2.6371923870528832e-05
NV,3791400.2899999996,0.6710504685273888
NY,67827024.97999999,12.00489355125515
OH,9982815.720000003,1.7668862830963659
OK,1350704.9000000001,0.23906501204261923
OM,174.52,3.08887795562731e-05
ON,52256.64000000001,0.009249047864494174
OR,8223302.73,1.4554651916769927
PA,16634130.909999996,2.944121033630405
PE,257.0,4.5487143857220874e-05
PG,5.0,8.849638882727796e-07
PR,151828.19999999995,0.02687249484429144
QC,14558.099999999997,0.00257667855637279
RI,1946204.91,0.344464212905835
RJ,10.0,1.7699277765455593e-06
RM,25.0,4.424819441363898e-06
SC,2595926.33,0.4594602117332974
SD,284378.60000000003,0.050332958319513905
SH,50.0,8.849638882727796e-06
SK,994.0,0.00017593082098862857
TN,4620669.980000001,0.8178252143852215
TR,100.0,1.7699277765455593e-05
TX,45620489.88,8.074497221822758
UK,60.0,1.0619566659273356e-05
UT,2506718.5900000003,0.443671086042412
VA,18135078.76,3.20977796271654
VD,225.0,3.982337497227509e-05
VI,90188.50000000001,0.01596271312749792
VR,50.0,8.849638882727796e-06
VT,1493948.2699999996,0.2644180539795184
WA,18574379.079999994,3.287530946577874
WI,6785352.93,1.2009584624471796
WV,782809.05,0.13855154813262416
WY,692438.8,0.12255666656778752
YT,4658.5,0.0008245208547037488
ZH,168.0,2.9734786645965395e-05
ZZ,1061341.7599999998,0.187849826143175
